S.N.,Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Serious Critical,Tot cases/ 1M pop,Deaths / 1M pop,TOtal Tests,Tests/ 1M pop,Population,,,,,,,,,,,,
154,Suriname,"10,428",,204 ,,"9,359",,865,26,"17,645",345,"51,013","86,317","590,998 ",South America,"572,89712",,,"1,464",,,,,
155,Benin,"7,821",,99 ,,"7,580",,142,35,631,8,"590,214","47,654","12,385,279 ",Africa,"1,584125,10421",,,11,,,,,
156,Equatorial Guinea,"7,694",,112 ,,"7,279",,303,7,"5,340",78,"123,169","85,479","1,440,927 ",Africa,"18712,86512",,,210,,,,,
157,Nicaragua,"6,898",,182 ,,"4,225",,"2,491",,"1,031",27,,,"6,689,960 ",North America,"97036,758",,,372,,,,,
158,Iceland,"6,472",,29 ,,"6,253",,190,4,"18,864",85,"600,005","1,748,857","343,084 ",Europe,"5311,8301",,,554,,,,,
159,CAR,"6,411",,88 ,,"5,112",,"1,211",2,"1,309",18,"40,907","8,350","4,899,311 ",Africa,"76455,674120",,,247,,,,,
160,Yemen,"6,325",,"1,229 ",,"2,794",,"2,302",23,208,40,"24,923",821,"30,369,014 ",Asia,"4,80124,7101,219",,,76,,,,,
161,Gambia,"5,898",,174 ,,"5,357",,367,3,"2,385",70,"71,116","28,761","2,472,661 ",Africa,"41914,21135",,,148,,,,,
162,Seychelles,"5,873",,28 ,,"5,101",,744,,"59,411",283,"21,504","217,535","98,853 ",Africa,"173,5305",,,"7,526",,,,,
163,Niger,"5,229",,191 ,,"4,855",,183,18,210,8,"99,176","3,979","24,926,972 ",Africa,"4,767130,508251",,,7,,,,,
164,San Marino,"5,066",,90 ,,"4,917",,59,4,"149,044","2,648","61,499","1,809,326","33,990 ",Europe,73781,,,"1,736",,,,,
165,Chad,"4,824",,170  ,,"4,430",,224,,287,10,"114,046","6,783","16,814,496 ",Africa,"3,48698,909147",,,13,,,,,
166,Saint Lucia,"4,560",,74 ,,"4,368",,118,2,"24,739",401,"40,466","219,536","184,325 ",North America,"402,4915",,,640,,,,,
167,Gibraltar,"4,283",,94 ,,"4,186",,3,1,"127,156","2,791","234,751","6,969,421","33,683 ",Europe,83580,,,89,,,,,
168,Sierra Leone,"4,057",,79 ,,"3,076",,902,,500,10,"152,747","18,832","8,111,176 ",Africa,"1,999102,67353",,,111,,,,,
169,Channel Islands,"4,055",,86 ,,"3,956",,13,1,"23,146",491,"454,413","2,593,770","175,194 ",Europe,"432,0370",,,74,,,,,
